base,visibility,dt,timezone,id,name,cod,weather_description,coord_lon,coord_lat,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,wind_speed,wind_deg,wind_gust,clouds_all,sys_type,sys_id,sys_country,sys_sunrise,sys_sunset,rain_1h
stations,10000,1783825184,7200,6544100,Eixample,200,broken clouds,2.159,41.3888,24.37,24.77,23.39,25.18,1014,73,1014,1007,0.89,96,2.68,78,2,18549,ES,1783830497,1783884314,
stations,10000,1783825864,7200,3128760,Barcelona,200,broken clouds,2.159,41.3888,24.44,24.82,23.64,25.18,1014,72,1014,1007,0.45,63,2.24,78,2,18549,ES,1783830497,1783884314,
stations,10000,1783826790,7200,3128760,Barcelona,200,broken clouds,2.159,41.3888,24.37,24.74,23.64,25.18,1014,72,1014,1007,2.44,76,3.42,78,2,18549,ES,1783830497,1783884314,
stations,10000,1783827673,7200,3128760,Barcelona,200,broken clouds,2.159,41.3888,24.2,24.56,23.08,25.18,1014,72,1014,1007,2.68,76,3.33,68,2,18549,ES,1783830497,1783884314,
stations,10000,1783861847,7200,6544100,Eixample,200,overcast clouds,2.159,41.3888,30.44,32.26,28.81,32.84,1015,53,1015,1008,5.16,107,6.97,100,2,18549,ES,1783830497,1783884314,
stations,10000,1783862652,7200,3128760,Barcelona,200,overcast clouds,2.159,41.3888,30.0,31.71,28.26,33.13,1015,54,1015,1008,2.24,94,4.92,100,2,18549,ES,1783830497,1783884314,
stations,10000,1783863627,7200,3128760,Barcelona,200,overcast clouds,2.1606,41.3891,29.57,31.85,27.65,33.17,1015,59,1015,1008,0.45,174,4.47,100,2,18549,ES,1783830496,1783884314,
stations,10000,1783864709,7200,6544100,Eixample,200,overcast clouds,2.159,41.3888,29.86,32.19,28.08,33.13,1015,58,1015,1008,1.79,109,4.47,100,2,18549,ES,1783830497,1783884314,
stations,10000,1783865699,7200,3128760,Barcelona,200,overcast clouds,2.159,41.3888,30.44,32.85,28.08,33.13,1015,56,1015,1008,0.89,49,4.02,100,2,18549,ES,1783830497,1783884314,
stations,10000,1783866354,7200,6544100,Eixample,200,overcast clouds,2.1606,41.3891,30.59,32.51,28.3,33.17,1015,53,1015,1008,0.89,80,4.47,100,2,18549,ES,1783830496,1783884314,
stations,10000,1783867363,7200,3128760,Barcelona,200,overcast clouds,2.159,41.3888,30.23,32.09,28.64,33.5,1015,54,1015,1007,4.54,96,5.88,99,2,18549,ES,1783830497,1783884314,
